user_id,R_Quartile,F_Quartile,M_Quartile
37463,5,2,2
37465,1,1,1
37493,1,3,2
37507,4,4,3
37526,3,5,5
37548,2,1,1
37552,2,3,2
37569,2,1,1
37592,1,4,4
37642,5,1,2
37663,2,3,2
37666,3,4,4
37681,1,1,1
37753,3,5,5
37792,5,5,5
37803,1,2,2
37816,4,2,2
37849,1,2,3
37886,3,4,4
37949,1,2,4
37991,4,5,4
38031,4,5,4
38050,1,5,5
38064,2,5,5
38116,1,2,1
38134,2,2,1
38136,1,2,1
38138,2,2,2
38145,1,5,5
38212,1,3,1
38280,1,4,4
38308,3,4,4
38310,1,1,2
38333,3,3,2
38350,1,2,1
38360,2,4,2
38404,4,5,5
38446,1,2,1
38483,3,4,3
38486,1,5,5
38551,1,1,1
38555,4,2,2
38563,2,2,4
38597,4,5,5
38630,2,4,5
38645,1,1,1
38670,1,1,2
38673,4,4,3
38690,3,5,4
38699,2,4,4
38720,4,4,4
39018,1,4,4
39076,4,5,5
39081,4,3,3
39092,1,2,4
39226,1,1,1
39232,3,3,4
39258,4,5,5
39260,1,4,3
39282,5,5,5
39323,4,3,3
39345,2,4,4
39372,3,4,4
39386,5,4,4
39437,2,1,1
39461,4,2,2
39493,2,5,5
39550,1,2,2
39692,1,2,2
39693,2,1,1
39718,3,4,4
39726,4,3,3
39749,1,4,5
39757,2,2,2
39760,3,4,4
39769,1,3,5
39821,2,2,1
39861,1,3,4
39875,1,2,1
39876,1,1,1
39885,1,5,5
39933,3,3,2
40214,4,1,1
40216,1,2,1
40239,1,1,1
40268,5,5,5
40281,2,2,2
40325,2,3,2
40340,2,1,1
40347,1,1,1
40405,3,4,5
40444,1,4,4
40448,2,2,1
40493,1,3,4
40500,3,2,3
40504,2,4,5
40515,1,5,5
40534,3,3,3
40540,3,5,5
40545,3,4,5
40564,3,5,5
40620,2,3,2
40629,3,1,2
40632,2,4,3
40640,1,2,1
40657,1,5,5
40748,1,5,5
40770,1,4,4
40826,3,2,4
40854,3,2,2
40872,3,4,4
40953,3,5,5
41023,4,2,2
41035,3,3,5
41072,1,5,4
41100,2,1,1
41159,1,2,4
41189,1,4,5
41203,4,3,1
41306,3,5,5
41310,3,3,1
41314,1,4,4
41316,3,2,1
41333,3,2,2
41437,1,2,1
41445,1,5,5
41459,4,2,2
41508,1,1,1
41554,5,2,3
41560,1,2,1
41587,2,3,3
41630,1,5,5
41658,4,2,2
41678,4,4,3
41733,1,2,4
41841,3,5,5
41866,1,1,1
41892,3,4,4
41926,2,3,3
41957,2,1,1
42000,2,2,2
42032,2,5,5
42068,1,4,5
42072,1,2,2
42131,2,2,3
42255,1,4,2
42290,1,5,5
42364,1,3,4
42423,1,3,3
42509,2,3,3
42600,5,2,3
42668,1,2,1
42701,3,4,5
42764,2,4,4
42770,1,2,3
42810,1,3,4
42850,3,4,5
42855,1,4,4
42913,2,4,4
42986,4,1,2
43018,4,5,5
43074,1,4,5
43113,1,4,4
43136,3,4,4
43190,1,1,3
43253,2,4,4
43255,5,4,4
43348,4,4,3
43361,1,3,2
43387,3,2,2
43408,1,2,2
43446,1,4,5
43503,1,1,1
43623,4,5,3
43658,2,2,2
43671,5,3,2
43677,3,1,1
43686,4,2,3
43712,2,2,3
43862,4,3,3
43867,1,1,2
43896,1,1,2
43915,3,4,5
43930,4,2,1
43973,4,5,5
44005,3,4,5
44016,3,3,3
44027,4,5,5
44053,3,2,2
44088,2,3,3
44129,1,1,1
44159,3,5,5
44177,2,2,2
44231,2,5,5
44277,3,2,2
44283,1,1,3
44285,2,2,3
44336,3,3,2
44348,1,5,5
44367,2,1,2
44371,1,2,2
44386,5,2,3
44401,3,4,3
44461,1,2,3
44631,2,4,3
44695,2,3,2
44862,3,5,5
44877,3,2,3
44879,3,2,1
44971,2,4,5
45015,2,1,1
45021,3,2,2
45054,2,3,3
45063,2,2,3
45162,2,4,3
45167,1,5,5
45181,2,4,4
45252,5,5,5
45264,2,3,2
45406,2,2,2
45412,2,4,4
45425,3,3,2
45520,2,5,5
45546,5,3,3
45585,2,3,4
45618,4,5,5
45681,3,2,1
45713,3,2,2
45720,1,1,2
45769,4,2,3
45784,4,1,1
45828,1,1,1
45954,2,1,1
45981,5,5,5
46026,2,2,1
46072,4,4,3
46094,1,5,5
46128,1,3,2
46174,2,2,2
46178,3,3,3
46212,3,5,5
46213,2,1,3
46285,2,1,2
46363,1,5,5
46491,1,3,4
46504,1,2,2
46554,2,5,3
46689,5,1,1
46745,1,4,4
46766,4,3,3
46775,2,2,3
46826,2,3,3
46873,1,4,5
46882,1,5,5
46927,1,2,1
46932,2,4,4
46944,5,4,4
46988,1,2,1
46997,1,4,3
47003,2,1,1
47048,2,1,2
47139,2,1,1
47175,1,3,2
47181,3,1,1
47184,1,3,3
47226,1,2,1
47262,1,5,5
47303,2,2,3
47434,4,2,2
47514,5,5,5
47596,3,3,4
47610,2,3,3
47686,2,4,4
47781,4,3,4
47818,2,3,3
47838,1,2,4
47845,3,5,4
47977,1,5,5
47995,1,4,3
48021,2,2,2
48048,1,1,2
48066,1,4,3
48079,2,1,1
48091,3,5,5
48098,1,3,3
48232,4,5,5
48267,2,4,3
48292,1,3,2
48302,2,5,4
48326,3,3,4
48354,3,2,2
48355,1,4,5
48356,4,5,4
48410,1,4,4
48418,2,5,5
48476,2,3,4
48505,2,2,2
48540,5,2,4
48602,1,2,2
48694,3,1,1
48738,2,5,5
48758,4,5,5
48807,1,5,5
48832,2,3,2
48887,2,2,2
48889,1,2,3
49041,3,1,3
49134,4,2,4
49141,2,3,3
49156,3,5,5
49159,1,2,3
49168,2,2,2
49184,3,5,5
49248,3,3,4
49260,3,2,1
49281,1,3,2
49287,4,4,3
49289,1,3,4
49349,2,2,2
49418,4,4,2
49447,1,3,3
49535,2,3,3
49576,5,5,5
49620,1,4,4
49661,1,2,2
49662,1,5,5
49682,1,3,4
49767,1,2,1
49811,1,1,2
49815,4,1,2
49880,4,4,4
49905,3,2,1
49968,2,4,4
49995,3,5,5
50021,2,3,3
50065,2,3,2
50076,1,5,5
50227,3,4,3
50421,2,2,2
50459,4,4,4
50600,1,1,4
50609,3,4,3
50618,4,5,3
50639,2,4,3
50688,3,3,3
50711,2,2,2
50733,1,4,4
50814,1,4,4
50884,4,2,1
50955,1,4,3
51058,3,5,4
51099,3,5,5
51113,2,1,2
51197,1,5,5
51200,4,3,3
51207,3,1,1
51217,1,3,2
51231,1,2,4
51254,3,5,4
51286,1,5,5
51306,1,2,3
51318,3,1,3
51486,1,2,1
51576,2,2,2
51589,3,4,3
51603,1,5,5
51659,3,3,4
51701,1,3,2
51706,4,5,5
51719,5,2,3
51722,1,5,5
51748,4,5,5
51836,3,5,5
51865,4,3,4
52112,4,1,1
52139,3,3,4
52260,4,5,5
52323,1,1,1
52326,2,3,2
52368,1,4,5
52380,4,4,4
52436,2,5,5
52494,1,2,2
52497,5,2,3
52507,3,5,5
52588,5,5,5
52761,4,3,5
52809,2,1,2
52866,1,2,4
52941,2,2,2
52970,2,5,5
52979,1,2,1
53103,3,2,3
53164,4,3,4
53168,3,1,1
53179,4,1,1
53219,1,5,5
53241,3,5,5
53296,3,2,1
53303,3,1,1
53395,3,2,1
53396,2,3,3
53605,1,3,4
53621,2,4,4
53630,1,5,5
53687,4,2,2
53698,1,1,1
53727,1,5,5
53771,3,4,4
53780,3,5,4
53975,2,3,3
54008,1,5,5
54011,1,5,5
54014,1,2,4
54034,1,4,4
54081,1,3,4
54095,1,2,3
54176,1,3,4
54190,1,5,5
54259,1,5,5
54301,1,2,1
54313,4,5,5
54353,4,5,5
54409,3,2,3
54457,1,2,1
54493,1,1,1
54517,1,1,1
54524,1,5,5
54565,1,5,5
54648,5,3,4
54679,3,5,4
54717,5,1,1
54795,2,2,2
54845,1,3,1
54854,4,5,5
54899,1,1,2
55000,2,3,3
55076,1,1,3
55110,1,1,1
55114,3,3,3
55160,3,3,4
55173,1,3,4
55207,2,3,3
55215,3,3,3
55290,2,2,2
55483,1,1,3
55535,4,3,4
55616,1,2,2
55650,1,5,5
55676,1,4,4
55779,3,3,4
55838,3,3,4
55872,3,2,1
55989,2,2,2
56095,1,5,5
56160,5,4,4
56175,2,2,1
56226,1,4,4
56229,3,1,1
56250,3,2,4
56282,2,1,1
56290,1,5,5
56307,1,1,1
56388,5,5,4
56462,5,2,1
56478,1,2,2
56490,1,4,4
56535,4,3,4
56599,3,5,5
56601,1,2,2
56614,4,1,1
56617,2,4,3
56676,5,5,5
56684,3,2,3
56725,2,4,3
56749,4,4,3
56770,1,3,3
56803,1,2,3
56817,4,5,5
56863,3,4,2
56966,2,2,3
57019,2,1,1
57020,2,4,4
57025,1,1,2
57046,2,2,1
57063,1,1,1
57101,2,2,2
57261,2,4,3
57282,1,2,4
57301,2,1,1
57329,4,5,5
57343,1,5,4
57349,1,1,1
57365,2,5,5
57385,2,1,1
57388,1,5,4
57417,3,3,4
57427,5,4,5
57472,3,2,1
57598,1,5,5
57670,2,4,4
57712,2,2,3
57725,1,5,5
57742,1,4,5
57758,1,4,4
57774,4,3,3
57789,4,5,5
57916,2,2,2
57940,5,4,3
58024,3,5,5
58058,2,2,1
58080,5,3,4
58153,3,2,2
58183,3,2,1
58187,2,4,4
58225,3,5,5
58228,1,3,5
58260,3,4,5
58267,2,1,1
58348,2,3,3
58359,1,5,2
58372,5,3,4
58430,3,2,2
58483,5,4,4
58503,2,2,1
58548,1,5,5
58550,4,4,4
58583,4,3,3
58620,1,3,4
58634,4,1,2
58690,1,2,2
58728,2,3,2
58752,2,2,1
58781,2,2,1
58826,2,3,4
58830,3,2,4
58843,1,5,5
58865,1,2,3
58866,1,1,1
58897,4,4,4
58950,1,3,2
58979,2,1,2
59052,5,4,5
59122,2,2,2
59142,3,4,4
59167,4,1,2
59168,1,3,2
59228,3,4,3
59231,2,3,3
59262,2,2,2
59291,3,2,2
59313,1,5,5
59365,1,5,5
59367,1,2,1
59433,2,2,4
59497,2,2,2
59518,3,3,3
59525,4,4,3
59577,4,5,5
59638,2,3,4
59696,1,1,2
59737,1,2,2
59748,3,2,2
59823,2,1,1
59824,1,2,1
59911,1,4,1
59915,1,4,4
60028,3,2,4
60041,4,5,5
60046,1,4,5
60048,1,1,2
60098,2,2,3
60185,1,2,3
60228,2,4,5
60267,2,2,2
60308,4,5,5
60321,1,2,3
60334,1,3,3
60347,2,1,1
60357,1,2,3
60405,2,2,4
60482,3,1,1
60549,1,5,4
60628,2,3,4
60665,4,5,5
60690,1,5,5
60868,3,3,3
60906,2,3,3
60973,3,3,2
60991,2,4,5
61069,4,5,5
61115,4,2,2
61133,2,4,4
61171,4,4,4
61253,4,5,5
61353,2,2,1
61369,1,4,5
61402,3,1,4
61450,2,3,2
61464,3,2,2
61470,4,3,3
61482,2,2,2
61484,2,1,1
61501,1,3,2
61592,2,2,2
61649,1,4,5
61670,1,2,2
61697,4,1,1
61815,1,2,1
61868,1,4,4
61904,3,2,2
61928,2,1,2
61933,4,5,5
61952,4,4,5
62027,3,3,3
62189,3,2,4
62210,4,2,4
62232,4,4,3
62288,2,3,4
62324,2,1,2
62330,4,2,1
62339,4,3,2
62357,2,1,1
62473,4,4,3
62541,2,2,3
62544,3,1,1
62579,2,2,2
62587,1,4,3
62600,3,2,2
62621,3,5,5
62690,2,4,3
62719,2,2,4
62783,3,1,2
62843,2,4,4
62856,3,5,5
62895,2,2,1
62910,2,2,1
63197,1,2,1
63198,1,4,4
63233,3,1,2
63307,3,4,5
63319,1,3,3
63328,1,3,4
63345,3,2,2
63400,1,3,2
63533,3,3,2
63580,4,5,5
63609,1,3,4
63629,1,1,1
63697,3,3,2
63703,3,2,3
63728,1,3,3
63776,5,2,3
63777,2,3,4
63798,4,2,2
63823,1,2,3
63868,2,2,1
63881,3,1,1
63888,4,5,5
63909,1,2,3
63920,5,3,4
64063,2,3,4
64162,5,2,3
64163,1,4,4
64204,2,4,3
64265,2,5,5
64283,5,1,1
64291,3,3,3
64294,1,2,3
64427,1,1,2
64448,1,5,5
64550,1,1,2
64654,4,4,3
64661,3,1,4
64665,3,4,4
64705,1,3,4
64736,1,2,1
64817,2,4,4
64949,5,5,5
64978,3,4,4
64983,4,3,3
65054,1,1,2
65160,4,2,1
65162,2,2,4
65269,1,3,2
65447,2,3,4
65510,3,5,5
65550,3,4,4
65615,1,5,5
65728,3,3,3
65798,4,3,2
65818,1,2,3
65822,3,1,1
65879,3,3,3
65931,2,2,3
65959,1,1,1
65981,4,3,2
66073,3,4,4
66139,3,5,4
66151,2,2,2
66202,2,1,1
66222,2,3,2
66250,3,1,3
66266,1,5,5
66314,1,3,4
66551,1,1,1
66662,2,4,4
66688,3,5,5
66723,5,2,4
66818,2,4,2
66932,2,2,2
66949,5,4,4
67014,2,1,2
67065,1,1,2
67073,1,4,4
67115,2,4,3
67131,1,5,5
67177,3,4,5
67218,3,3,3
67251,2,3,5
67277,4,5,5
67541,1,4,3
67555,1,1,3
67710,1,2,3
67866,2,3,3
67901,3,3,4
67914,2,4,4
67938,1,4,4
67943,3,5,5
68012,4,1,1
68042,4,5,5
68068,2,5,5
68072,3,3,2
68088,4,3,3
68120,2,3,4
68176,5,3,2
68210,4,4,4
68242,3,4,4
68298,2,4,3
68300,1,2,1
78385,1,2,4
78429,3,1,3
78436,1,3,3
78463,2,3,4
78480,1,1,2
78567,4,5,5
78585,1,3,3
78645,2,2,4
78687,1,4,4
78767,2,2,2
78772,1,2,3
78815,1,4,4
78871,1,4,4
78891,3,4,4
78970,4,5,4
78972,1,4,4
79008,4,5,4
79064,1,1,2
79118,1,2,4
79174,1,2,4
79210,1,1,2
79250,3,4,3
79329,3,2,2
79431,1,5,5
79502,5,5,5
79517,2,4,4
79529,2,4,4
79605,2,4,4
79642,1,4,4
79721,2,1,1
79740,1,3,4
79753,1,5,4
79817,3,5,5
79827,1,1,1
79841,3,2,1
79905,3,5,5
79977,1,2,1
80045,3,2,1
80059,3,1,3
80061,4,5,5
80101,1,1,1
80133,1,5,4
80151,1,3,4
80177,1,2,4
80187,1,2,4
80203,2,1,2
80245,2,2,2
80264,1,1,2
80384,4,2,4
80393,1,5,5
80442,1,5,5
80467,1,3,1
80473,2,1,1
80551,2,3,4
80564,1,1,2
80592,2,4,5
80652,1,5,5
80664,3,2,3
80677,2,3,4
80705,3,2,2
80767,5,4,5
80774,1,5,5
80792,5,5,5
80905,3,3,2
80911,3,5,5
80985,3,1,5
81020,4,5,4
81074,1,5,5
81081,4,2,3
81139,1,4,4
81147,3,3,4
81149,2,2,1
81217,1,3,3
81272,3,1,1
81309,5,4,4
81311,2,2,1
81340,1,2,2
81347,4,4,5
81373,4,5,4
81382,4,4,4
81452,2,2,4
81455,2,3,3
81492,1,2,1
81507,3,2,4
81508,4,2,3
81511,1,1,1
81637,1,5,5
81732,1,1,3
81794,1,2,4
81925,1,1,1
81938,1,3,4
81972,2,2,1
82117,2,4,3
82198,1,5,5
82245,1,1,2
82382,1,4,4
82458,1,5,5
82570,4,1,1
82693,2,2,3
82797,4,3,3
82837,1,5,5
83013,4,4,3
83127,1,3,2
83152,1,1,3
83170,3,5,4
83189,2,2,4
83225,4,1,1
83227,4,1,3
83256,4,4,5
83260,4,5,5
83293,4,4,5
83294,1,1,2
83304,3,2,1
83353,3,4,3
83411,3,5,4
83586,1,3,3
83651,1,4,4
83723,1,1,2
83745,4,5,5
83814,5,1,1
83844,3,4,4
83864,1,4,5
83937,1,1,3
84021,1,1,3
84038,3,2,2
84103,5,5,5
84146,1,4,4
84341,5,1,1
84368,1,3,4
84396,1,5,4
84409,1,5,5
84525,4,4,3
84592,1,5,5
84646,1,4,4
84707,1,2,3
84806,1,3,3
84864,1,3,2
84907,1,2,3
84919,1,4,3
84951,1,2,2
84995,1,4,4
85037,3,2,1
85095,2,3,3
85175,5,3,3
85179,4,5,5
85219,4,3,5
85345,2,1,1
85384,1,1,5
85453,4,2,2
85630,5,5,5
85677,3,2,3
85697,3,1,2
85730,1,5,5
85806,1,2,5
85836,4,4,2
85863,1,2,1
85876,2,4,4
85890,3,4,4
85926,3,3,3
85982,2,2,2
85983,5,5,5
86054,4,2,1
86077,1,3,4
86098,1,1,1
86103,1,1,1
86107,2,2,3
86172,4,2,1
86177,2,1,2
86278,3,2,1
86394,2,3,4
86434,1,2,1
86511,3,3,3
86569,1,5,5
86598,1,1,1
86602,3,2,1
86644,1,5,4
86891,3,3,3
86922,1,3,2
86923,4,4,4
86987,3,2,2
86990,3,2,3
87009,1,3,4
87027,2,2,3
87030,5,5,5
87072,4,2,2
87272,3,5,5
87285,1,5,5
87339,1,2,1
87359,5,2,2
87400,2,3,2
87404,2,3,1
87436,1,2,2
87464,3,3,4
87568,4,5,5
87684,1,1,1
87698,5,1,1
87740,3,1,1
87753,4,5,5
87761,4,4,4
87797,4,3,4
87818,1,5,5
87865,5,1,2
87900,1,2,3
88005,4,5,5
88086,1,2,3
88107,3,2,2
88127,4,1,3
88189,2,4,4
88206,3,3,4
88218,1,3,4
88237,2,4,4
88456,5,1,1
88460,3,4,4
88487,4,3,3
88594,1,5,5
88636,1,2,3
88668,4,5,5
88707,3,2,3
88717,3,1,2
88759,2,5,5
88812,5,5,5
88852,3,1,3
88863,4,5,5
88923,5,2,3
88925,1,4,3
88965,1,4,4
89037,4,4,4
89101,4,5,4
89235,2,2,2
89324,1,3,5
89332,2,1,1
89376,1,4,3
89393,1,4,2
89400,1,3,2
89507,2,2,1
89511,2,5,5
89538,4,5,5
89567,1,1,1
89638,2,2,2
89702,2,2,3
89704,2,4,4
89830,3,4,4
89876,1,1,2
89891,2,1,2
89954,3,1,2
90024,3,4,4
90044,1,2,4
90069,2,3,3
90074,5,5,5
90162,1,5,5
90176,2,2,2
90206,3,5,5
90241,1,1,3
90264,1,4,3
90341,1,4,2
90401,1,5,3
90414,2,2,2
90415,2,2,3
90417,1,1,2
90421,3,5,5
90441,4,5,5
90452,1,1,1
90468,1,4,4
90484,1,5,5
90579,1,5,5
90624,1,1,1
90638,4,2,2
90876,1,1,1
90926,3,2,2
91017,2,2,1
91035,5,3,4
91060,3,1,2
91078,3,4,5
91120,1,2,2
91369,5,1,2
91495,2,1,1
91549,3,5,5
91563,5,1,2
91614,5,3,3
91626,3,2,2
91633,3,4,4
91715,1,4,3
91811,1,2,1
91864,3,5,4
91868,2,5,5
91891,4,4,4
91945,1,1,2
92059,2,1,2
92123,1,5,5
92197,1,2,3
92263,4,5,4
92267,4,5,4
92292,1,4,4
92313,3,2,1
92485,3,1,1
92526,3,4,2
92574,4,5,5
92591,2,1,1
92632,1,5,5
92634,2,4,5
92655,1,5,5
92685,4,1,1
92759,1,2,1
92801,3,2,1
92836,1,5,5
92874,4,3,4
92906,1,4,4
92909,1,3,4
92941,2,3,4
92968,2,1,1
92973,4,2,2
92980,2,3,4
93038,1,3,4
93045,1,4,4
93057,1,2,4
93073,5,5,5
93297,2,2,1
93388,2,2,2
93420,3,5,5
93483,1,1,1
93489,4,5,5
93712,3,5,5
93750,1,2,2
93823,4,2,1
93836,2,2,2
93859,1,2,1
93888,1,4,5
94005,1,3,2
94016,1,5,5
94020,1,3,4
94143,4,5,5
94187,1,2,2
94229,1,4,3
94242,5,5,5
94250,2,1,2
94253,5,2,3
94300,2,2,3
94394,1,4,3
94395,5,3,2
94548,3,5,5
94597,2,1,1
94618,2,1,1
94619,1,3,3
94631,3,1,1
94677,2,4,4
94702,4,5,5
94732,3,4,3
94767,4,3,3
94780,1,1,3
94787,2,3,3
94788,2,1,2
94791,2,1,1
94995,1,3,4
95097,1,3,5
95121,2,5,5
95137,1,4,5
95141,1,5,5
95155,1,2,1
95168,1,1,1
95176,2,4,4
95251,2,4,4
95287,5,5,5
95315,2,3,2
95334,1,2,1
95361,3,5,5
95404,1,1,1
95465,1,3,3
95509,3,1,1
95563,1,4,4
95595,5,5,5
95757,4,2,1
95772,1,4,3
95916,2,4,4
95918,1,3,1
96001,2,3,3
96034,2,3,4
96181,1,2,2
96185,4,3,3
96247,1,5,5
96251,1,1,1
96259,1,1,2
96263,1,4,4
96328,3,4,4
96370,1,4,5
96372,2,3,3
96377,3,1,2
96381,3,2,4
96503,3,5,5
96510,1,2,1
96523,5,1,1
96541,5,3,3
96552,4,5,4
96555,3,5,4
96627,2,1,2
96711,1,1,1
96728,1,2,2
96744,1,1,4
96755,4,4,3
96808,3,5,5
96832,4,3,1
96900,3,5,5
96939,2,2,2
96966,1,1,1
97025,4,1,1
97118,2,3,5
97172,1,2,2
97206,5,3,2
97306,4,4,3
97345,4,3,2
97420,4,2,1
97492,4,2,5
97528,4,2,2
97549,2,2,3
97602,1,1,1
97637,4,2,2
97808,2,2,1
97912,1,3,5
97915,1,1,1
98002,2,3,3
98014,4,4,4
98029,3,2,1
98076,3,1,2
98108,4,4,5
98111,2,3,1
98148,3,1,2
98263,1,3,4
98293,2,3,4
98378,1,1,1
98399,1,4,5
98459,2,2,1
98499,2,4,4
98540,5,4,3
98591,3,4,3
98661,5,1,1
98718,3,1,1
98848,2,4,4
98861,5,3,3
98881,4,4,3
98888,3,3,2
98906,1,2,4
98910,4,4,4
98976,2,3,1
99027,3,5,5
99053,4,5,4
99095,3,5,5
99126,3,1,4
99216,4,2,1
99405,4,2,1
99483,3,3,3
99542,4,4,4
99613,3,1,1
99622,2,4,3
99641,4,5,5
99685,2,5,5
99698,2,2,2
99712,4,3,3
99793,2,1,2
99882,4,1,1
99913,1,4,3
99925,5,5,5
99957,1,2,1
100090,1,3,4
100114,2,1,3
100125,1,4,5
100126,2,2,1
100145,4,4,4
100199,1,1,1
100311,1,2,3
100363,2,3,4
100469,1,4,4
100494,3,1,1
100623,2,5,5
100638,3,2,1
100707,4,2,2
100784,2,3,2
100834,4,2,1
100908,1,2,4
101036,5,5,5
101042,1,1,4
101098,1,5,4
101107,2,2,2
101176,4,4,3
101206,2,1,2
101312,5,4,4
101316,2,3,2
101322,4,2,1
101422,4,4,4
101635,3,2,2
101637,5,5,5
101666,1,1,1
101799,4,4,4
101890,2,4,5
101934,1,3,3
101935,3,3,4
102011,3,2,2
102029,2,2,3
102065,4,5,5
102074,2,1,1
102089,1,5,5
102094,2,2,3
102096,4,5,5
102122,3,1,3
102126,2,5,5
102205,3,3,4
102209,3,3,4
102247,1,2,2
102249,1,2,1
102322,1,2,4
102377,4,3,4
102399,4,5,5
102531,1,2,2
102533,5,1,1
102613,3,1,2
102661,5,2,4
102695,1,2,1
102769,3,2,2
102892,1,3,3
102946,1,2,1
102950,1,2,1
102952,2,5,5
103091,2,4,4
103152,3,2,2
103229,2,3,4
103425,1,2,1
103456,4,3,3
103509,1,3,5
103542,2,1,1
103640,3,4,3
103946,3,5,5
104055,3,1,1
104059,4,2,3
104097,3,2,1
104218,3,3,4
104227,4,3,3
104281,4,5,4
104308,2,4,4
104323,5,1,2
104338,2,4,4
104437,3,3,4
104443,1,3,3
104471,1,1,2
104517,4,4,4
104536,2,2,3
104538,1,5,5
104555,1,2,3
104599,3,4,4
104605,3,4,4
104621,2,1,1
104666,1,5,5
104686,1,1,2
104738,1,2,3
104793,4,5,5
104794,2,5,5
104813,4,5,5
104815,2,1,1
104921,4,1,1
104952,2,2,3
105016,1,4,4
105082,4,2,1
105225,3,5,4
105272,2,5,5
105294,2,1,1
105347,4,2,2
105376,1,5,5
105431,4,2,2
105436,4,2,3
105443,1,5,4
105454,4,4,3
105562,1,3,3
105602,1,5,5
105763,2,4,4
105786,1,3,3
105889,2,5,4
106014,2,4,5
106018,3,5,5
106051,2,3,3
106061,3,5,5
106137,2,3,3
106142,1,4,3
106158,4,1,1
106162,3,1,3
106188,4,1,2
106195,5,2,3
106204,1,4,4
106247,1,4,4
106250,1,2,1
106291,2,3,1
106390,4,4,4
106408,2,4,4
106409,1,4,4
106417,1,5,5
106479,1,5,4
106502,2,5,5
106516,1,4,4
106596,2,3,4
106635,3,5,5
106711,3,5,5
106738,3,3,3
